No,Name,Email,Rating,Feedback,Wallet Address,Transaction Hash,Split ID
12,"Lena Mueller","lena.mueller@gmail.com",4,"Really intuitive flow. The Freighter signing popup is seamless.",GCWBAL4GJG4EDTL4KOBIDKRIMY5BBQL5PQNNCL2POMWYFP7J2K4OKP4B,4287b2e924092364b6438a1eb7c36076b2dc709fbe863933ce6f494636c853e4,21
13,"Marco Rossi","marco.rossi@gmail.com",5,"Using SYNC_SPLIT for our family reunion. Works flawlessly!",GBJ24LNXDKEY5PYVXPKKNJAHYM3LQKCRWC2BXJRCD46KIGT4XT6342F6,5a264e8571e77a56798d94461925efef1cd89706f8cc642fb442f3301b42b1b7,22
14,"Nina Osei","nina.osei@gmail.com",5,"The event feed showing payments in real time is incredibly satisfying.",GAMHMCPVFGOXADCSYD424UAHISYBY2PPYT35XZWQ5KYXJJIBFPKSJWJE,83a5f2bf0af7475c94c6a2f111bf5437d08f4a24aa8ec573fd7066b912ff668f,23
15,"Omar Hassan","omar.hassan@gmail.com",4,"Great project. Would love USDC support in the next version.",GDKJEJI45QPDEG7OSBWCXJIDLDVQ5LL52B43KTGKYJTEKTQJ6W65CHMN,9a4c0cd4a7713d637d45003edc7e2254fb75e9e4b8639f8baeced72735bb4df4,24
16,"Priya Patel","priya.patel@gmail.com",5,"Split my rent deposit with roommates. Saved so much hassle!",GD5JNFRKFK5IICAF76YZFOE2ASQ5HTULNOWZBAYQANFC4XLML2V34OOE,e7765a4176f8c8e2f2d32b1da6d6179038c63af0f54879154ecd825b86d380ee,25
17,"Quinn Chen","quinn.chen@gmail.com",4,"Clean and minimal. Love the dark mode glassmorphism.",GDT7YVY6BQRG3GP7KNBR5XDL5QJ756JH75GVX6ZFY42MSAPKBI6RONC3,dcf0dfd8c5126a904392139c530025a9f84f9e6b4e951d3a38b0b970b4957a52,26
18,"Rafael Santos","rafael.santos@gmail.com",5,"Stellar testnet is so fast. Transactions confirm in seconds.",GAAUSOVLVMZQZFQCMYBGFKXMTZXASDXDN2QM3SQ5LNQE5LC4SVYEZAYY,7e08b9998edd651942af82a91cfe000f7dcf5f6f5e00087c8a9e6b08d1db2b05,27
19,"Sara Kim","sara.kim@gmail.com",5,"The QR code for receiving is a nice touch. Easy to onboard friends.",GA6G22DNW7RJ24ZBA5PLNV5KDZPUBS3MW33MZF5ICGN6BCRG75CSA6RQ,0cd8de3b5a0884839ad842fb1285493e43d08d672c5f00b70f50473eb355feaa,28
20,"Thomas Wright","thomas.wright@gmail.com",4,"Would be great with push notifications when added to a split.",GAUFH33U5Y2PRSIEIJQUF6LJ5PSOBID4NUUJYGDRX65PGBVMUCBLAG2D,71d40c7f9b6a368a5e2d0f44532c4901fdf16d01cc8e9bce39e543a997ef6d2d,29
21,"Uma Krishnamurthy","uma.krishnamurthy@gmail.com",5,"Used for our yoga retreat shared expenses. Worked perfectly.",GDXCY7AHOUZ7A6P7BUGQTEMH65UMVKQQHQVFXJSRSX7EGZZOZILRSBND,1b93e0adecfda7a8d0546e6ecdaa1f7635e3735006785d61a0b434b34acbbe57,30
22,"Victor Reyes","victor.reyes@gmail.com",5,"On-chain bill splitting is the future. Great execution!",GB6KFV5BUCO2GIMFFYPT4TORYCG2JRDRZD7SK4DTS32UXZIKDECNESL4,2f105632fdb0ff32cd1a00ec939f9b0c01c8210f253c53a3023f6c201272908c,31
23,"Wendy Park","wendy.park@gmail.com",4,"Sharing the invite link made it easy to add participants.",GANGDYUNYP7PNEJK3JZ7RPJXEZAMS6HQ4UJACF5HGTY2O2DAT6RMBOQM,514f2b12db91e89726920b866a4676cbf90a65526ac80c2fb660d457ad3d786e,32
24,"Xavier Dubois","xavier.dubois@gmail.com",5,"The proportional split mode is perfect for unequal shares.",GCRP5W5GMLC4U7B33PPGKCDG2ONMYOT55EHQ7NIQAC4SZOAG3IW2KVJY,3e9092472e787f3048a09c5d1280646fd33881f5463d782440a1e23960414401,33
25,"Yuki Nakamura","yuki.nakamura@gmail.com",5,"Fast secure and transparent. Stellar blockchain is trustworthy.",GBQMNRAJ475WXPJ4ZOFAK4ZTTKAYYSZGWWDJSEKOL4NGDIHEPTQQLMJD,58f3c3f31f6b551beb91b8af8707fa9a79f6007bd7c2fea8d04c03ecc8558361,34
26,"Zara Ahmed","zara.ahmed@gmail.com",4,"Wallet connection works with both Freighter and xBull. Impressive.",GBTSGEYGPIQK6VPAV24SLIU2SCQCHPGUCGEI2JHUE5VR7CH5IS7OQPBT,9ff1c89dec3cd1dfc737a73cb74871317860090b309a405fb66e2214c3b28ed1,35
27,"Amos Okafor","amos.okafor@gmail.com",5,"Built on Soroban so the contract is verifiable. Love transparency.",GAMXQ4U6CRN6B473S3FYB7CFYABALU5LPQN4VCTUWBCY2NS3I4NMG2XM,4456ba92e85cbf9d0f5b76c506d6e2367d1c0b56dfc0fbe496593c06396fe5c3,36
28,"Bianca Ferrari","bianca.ferrari@gmail.com",5,"Used for a group art supply purchase. Exact split was perfect.",GAMGPU3ND3LYCWZJ3LDKBDWQEVGPQSLQUXGBDOA4NRIXRGFOLYSJK564,3fb4ca5084d778d968e4ed6dca21b39511f8069b87f255854c0d45c7f23b0cb5,37
29,"Carlos Mendez","carlos.mendez@gmail.com",4,"Great for splitting Airbnb costs across the group.",GDR26IEAJH5C72R7KJF5V6EMHK3VRNZX7A3LBCJNX7RR6VAUBEHD2XFV,94cb87099724da598adba35fb8c20aba316e1f66bf2241a570cc025b28422963,38
30,"Diana Kovacs","diana.kovacs@gmail.com",5,"Real-time settlement is the killer feature. No more IOU drama!",GD4N77VBRTM2T4HLKHXPXHMDHCIBD5MJIRWKKPXMEVV4ORLWJHH32LXT,5c7cb280795ae2cf1f6c89032c435e8eb2ff8efeb6e51a1fca0449eb5887a6cb,39
